topic id,Connected nodes
310,"[  29   11    8   14    4   53    7   13    3   56   16    0   49   64
   72   19   54   23    2   55   94  101    1   10  130 8232 1558  142
  152 9335 5343  132 9503  197  240  131  129   67  236  255  353  279
  298  302  283  293  342  161 9304  368  857  320   65 1730 1793 1744
 1109  138  878 9629 1772 2099 1209 2179 2082 2205 2220 2243 2306 2319
 1983 1066 2075  315 2392  274 3491  805 3143  329 4720 4151 2820 5359
 1986 4259  133  288 6111 6098 6113 6117 2750 4873 5664 6155 6122  333
 6120 5805 6207 6359 6280 6249 6235 6269 7504 7481 7508 7686 7705 7636
 7346 3721 6151 9475 6278 6168 7816   68 6274 8117 7903 8159 8102 6254
 7719 7986 8133  100 9393 7294 9112 9288 6165 9144 8736 9471 8125 2170
 9334 9496 9491 9174  281 9519 9149 7424 9476 8650 9555 9446 9605 9584
 9648 9654 9655 9620 9521 9571 9692 9636 9679 7760 9727 9801 9217 9690
 9857 9673 9668 6322 9872 9303 9916]"
312,[ 0  9 14  1 11 49  5]
311,[68  0 67  5]
325,[73 11 67]
313,[67 49]
315,[ 23   9   7 182]
3731,[6122    2    1 7567]
656,[   1    9   64  161   53   61   35  142   65  101  183 1558 6359]
646,"[ 130    0   40  132    1    7    4   49   61  134    6    9  159  144
  158   65 5805]"
316,[23]
5763,[ 958 9730    1 6155  281 7543 9353 9583 1558 6269 9335 7600]
6117,"[2750 9353 9393 9217 7636 9571 9690 6269 9503 7543 9144 9534 9496 9519
 9288 9112 6113 9863 9679 9872 7600 9673 7508 9363 7424  274  958 1558]"
6040,[7508 9626    1 9807 9304  283 9288 2750 9521 9496 9583]
5848,[7543 9335  283 6359 9620 9701 4873]
323,[ 56   5  14  19  67  49 158  84]
321,[49  5 73  7 13 14]
320,[ 0  9 40 11  5]
357,[ 84   7  49  28   5 348 563 274 132]
322,[49 62 67  7 68 16 64 19 13  4  2]
1409,[660 130 131 329 364 348 663  67 279 287 317  72 335 158 293 331]
335,[81  7]
349,[16 11 13  9 23]
326,[79  9 53  1 67]
327,"[  35    7   79   49   68   67   85   13  161   84    3  158   37 2037
 5305  132 1066 6088]"
348,[ 67  35  14   4   5  11   7  16 158 144 152]
329,[14]
336,"[  79    5   64    7   23   84   49   91  146   67  142  151   16   14
  152  159 8026]"
332,[   7   35    2   68    9  168 6106   16  281]
387,[ 89   7   9  35 227   1]
338,[ 67   9  29 130   0  23 173]
339,[  81   79    5   49   53    7   67   16 3491]
340,[ 5 64 23 49  7  9 16]
342,"[  13   81   56   67    7   68    5   16   11   53    9    0  130  230
  139   91  206 7846 4873 7504 6278 6260 7916 6113  283 8260 7760 7816
 7636 7600 7620 7903 9393]"
341,[  4  68   5  28  16  64 255  84  65  85]
371,[19 11  9 13  2]
343,[ 81  53   5 182 161]
344,[ 7 73 64]
352,[  9 279]
345,[ 0 11  2  1 14  9]
347,[  56   16 2099 2256  208]
346,[  81   67   56    9    7  161 1109]
351,"[  81    4    9   16   40    5   56    7    2   85   86  265  158 4151
 6217 6208 6117 1558  130 5265    3 6120 6278 6115 2129 9475  288]"
454,[  5   1  67  61  16  49   7  19 111  85 108 182]
447,[49  1 11 67  7 16 44  4  5 61 14  9 40  3 65]
353,"[   8   14   49    2    7   16    9    5   40   79   13  173    4  130
   48   43 2889  288]"
386,"[  85   56  101  236 6292 6266 2306    1    0 1558 7816 7903 6113 8982
 7643 9176]"
354,[84 49 35 73  9 16 14  8 44]
358,[81 14  4 16 68  5]
359,[ 20  81   9   7  16  14  56   4  28 173 130]
360,[68  4 16 81 64]
361,"[  35    7  142  132    4   40    0  158  130  204    3  114  255  168
 2889  269 2392  188]"
362,[ 14  49  16   4  28   1  13   5   9   7  35  11   8   0 101  43  67 265]
363,[ 9  5 49]
367,[67  9 11  4 14  5 16 49]
1886,"[2871  281  130  329   16    4 1109 2296    0   67  112 2256   65 2220
 2209    7  288  158  315 2392]"
365,[11  2 35 56]
366,[ 0  9  7 16 11 35 29  5]
405,[ 67   4  85   7  64  16   5 161  43  37 158   3  53 130 132]
370,[ 4  9 13 16 68]
369,"[  79    4    9   56   84    5   16   49   13   23    2   19  108   44
  142  158   29 6117 6322  288 6168]"
372,[ 67  16  49  64  84   5  11   4 164 130 142 183   2]
408,[67 40 49 89  4 56 13  1  7 54 44 84 85  9 81]
401,[91  9 13 56 67  7 23]
373,"[  84   13   14    5    7   35   86  322  158  329   37 2037 6106 6113
 2392]"
375,[85 84 11  7 67  9]
379,[35]
376,[ 86   4   5  85   7  67  68  49   9  28 101]
1384,[495 198 287  29 255 315 158 130 283 206  16 660 317 246 274]
399,"[  8  81  11   3  61  49  16   9  13  35  68   5   7  84  23  44  72 130
 279]"
443,"[  49   16    4   40  182  266  320 7636 7916 7600 7903 1558  288 2306
  132 7346]"
389,[ 85   7  91 164]
380,[85  9 56]
431,[  1  16  49  67   5  44  64  23 132]
382,[  89    4   56    5   85    7   86    9   40 6260]
383,[89 14 85  9  1 16 79  5]
385,[ 35  86  56   7  17 108  13 114  85 168]
388,[  85    4   86   13    9    7   49  326  283   65 2144 1066]
1446,"[  1   7 329  67 298 131 372 342 101  56 161 255 361 158 240 283  72 805
  11 320 100  14  35  65  68 279]"
390,[ 40  67  11  49  64  23 197 183 288]
393,[ 1  9 89  7 53 49  4]
392,[   9   89    1   49    4   53   16  358  861 1983    7 9728 1558]
398,[ 61  16   2   1  91  84  14  64 111   9 100  68 152   8 158 130]
395,[ 49   9   5  85  40  64  61   7 112  91 114  67   4 108   2   3]
396,[81 67 64 79]
